Gene	Gene description	Concentration
HLA-DQA1	Major histocompatibility complex, class II, DQ alpha 1	200 ng/L
CTNND1	Catenin delta 1	200 ng/L
RCSD1	RCSD domain containing 1	200 ng/L
ASPDH	Aspartate dehydrogenase domain containing	200 ng/L
PLEKHO2	Pleckstrin homology domain containing O2	200 ng/L
NEFL	Neurofilament light	200 ng/L
GPC4	Glypican 4	190 ng/L
ERH	ERH mRNA splicing and mitosis factor	190 ng/L
PSMD7	Proteasome 26S subunit, non-ATPase 7	190 ng/L
RPS13	Ribosomal protein S13	190 ng/L
PDCD10	Programmed cell death 10	190 ng/L
TMPO	Thymopoietin	190 ng/L
SBDS	SBDS ribosome maturation factor	190 ng/L
DSG3	Desmoglein 3	190 ng/L
NPL	N-acetylneuraminate pyruvate lyase	190 ng/L
MYOF	Myoferlin	190 ng/L
PRKCA	Protein kinase C alpha	190 ng/L
SCUBE1	Signal peptide, CUB domain and EGF like domain containing 1	190 ng/L
PSMC2	Proteasome 26S subunit, ATPase 2	190 ng/L
RPL29	Ribosomal protein L29	190 ng/L
COPS2	COP9 signalosome subunit 2	190 ng/L
CA4	Carbonic anhydrase 4	190 ng/L
RPL13	Ribosomal protein L13	190 ng/L
HARS1	Histidyl-tRNA synthetase 1	190 ng/L
INSR	Insulin receptor	190 ng/L
PPP1R14B	Protein phosphatase 1 regulatory inhibitor subunit 14B	190 ng/L
CCS	Copper chaperone for superoxide dismutase	190 ng/L
PITPNA	Phosphatidylinositol transfer protein alpha	190 ng/L
LRRC19	Leucine rich repeat containing 19	190 ng/L
S100A16	S100 calcium binding protein A16	190 ng/L
C4orf48	Chromosome 4 open reading frame 48	190 ng/L
ADAM22	ADAM metallopeptidase domain 22	180 ng/L
ADGRL1	Adhesion G protein-coupled receptor L1	180 ng/L
EIF3B	Eukaryotic translation initiation factor 3 subunit B	180 ng/L
MYL2	Myosin light chain 2	180 ng/L
SPR	Sepiapterin reductase	180 ng/L
ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	180 ng/L
CBX3	Chromobox 3	180 ng/L
EML2	EMAP like 2	180 ng/L
GNAZ	G protein subunit alpha z	180 ng/L
MAP1B	Microtubule associated protein 1B	180 ng/L
UQCRC2	Ubiquinol-cytochrome c reductase core protein 2	180 ng/L
BTF3	Basic transcription factor 3	180 ng/L
TNKS1BP1	Tankyrase 1 binding protein 1	180 ng/L
CLIC6	Chloride intracellular channel 6	180 ng/L
SRSF2	Serine and arginine rich splicing factor 2	180 ng/L
RPL9	Ribosomal protein L9	180 ng/L
FN3K	Fructosamine 3 kinase	180 ng/L
RPL38	Ribosomal protein L38	180 ng/L
C1orf116	Chromosome 1 open reading frame 116	180 ng/L
RPS23	Ribosomal protein S23	180 ng/L
NEU1	Neuraminidase 1	180 ng/L
ITGA3	Integrin subunit alpha 3	170 ng/L
ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	170 ng/L
PRKACA	Protein kinase cAMP-activated catalytic subunit alpha	170 ng/L
TTC38	Tetratricopeptide repeat domain 38	170 ng/L
CPOX	Coproporphyrinogen oxidase	170 ng/L
HMOX1	Heme oxygenase 1	170 ng/L
RAB2A	RAB2A, member RAS oncogene family	170 ng/L
ETFB	Electron transfer flavoprotein subunit beta	170 ng/L
ATP5PB	ATP synthase peripheral stalk-membrane subunit b	170 ng/L
IDUA	Alpha-L-iduronidase	170 ng/L
SGCE	Sarcoglycan epsilon	170 ng/L
MGAT3	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	170 ng/L
RPL27	Ribosomal protein L27	170 ng/L
FLOT2	Flotillin 2	170 ng/L
PCNA	Proliferating cell nuclear antigen	170 ng/L
NASP	Nuclear autoantigenic sperm protein	170 ng/L
FKBP11	FKBP prolyl isomerase 11	170 ng/L
GCHFR	GTP cyclohydrolase I feedback regulator	170 ng/L
USO1	USO1 vesicle transport factor	170 ng/L
IFNAR1	Interferon alpha and beta receptor subunit 1	170 ng/L
NECTIN4	Nectin cell adhesion molecule 4	170 ng/L
CRIM1	Cysteine rich transmembrane BMP regulator 1	170 ng/L
FAM177A1	Family with sequence similarity 177 member A1	170 ng/L
PRRC1	Proline rich coiled-coil 1	170 ng/L
PCBD1	Pterin-4 alpha-carbinolamine dehydratase 1	170 ng/L
MVD	Mevalonate diphosphate decarboxylase	170 ng/L
FNTA	Farnesyltransferase, CAAX box, alpha	170 ng/L
MARCKSL1	MARCKS like 1	170 ng/L
MUC20	Mucin 20, cell surface associated	170 ng/L
TMEM132E	Transmembrane protein 132E	170 ng/L
BCAP31	B cell receptor associated protein 31	170 ng/L
GNG2	G protein subunit gamma 2	170 ng/L
GRK6	G protein-coupled receptor kinase 6	170 ng/L
SELENOM	Selenoprotein M	170 ng/L
BRK1	BRICK1 subunit of SCAR/WAVE actin nucleating complex	170 ng/L
CD6	CD6 molecule	160 ng/L
DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	160 ng/L
HBQ1	Hemoglobin subunit theta 1	160 ng/L
ATP5F1D	ATP synthase F1 subunit delta	160 ng/L
TIMM13	Translocase of inner mitochondrial membrane 13	160 ng/L
COCH	Cochlin	160 ng/L
PON2	Paraoxonase 2	160 ng/L
RPL19	Ribosomal protein L19	160 ng/L
CHORDC1	Cysteine and histidine rich domain containing 1	160 ng/L
KIAA1549L	KIAA1549 like	160 ng/L
GNPTAB	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta	160 ng/L
CD86	CD86 molecule	160 ng/L
TXNDC12	Thioredoxin domain containing 12	160 ng/L
COL10A1	Collagen type X alpha 1 chain	160 ng/L
PSMF1	Proteasome inhibitor subunit 1	160 ng/L
ATP1B2	ATPase Na+/K+ transporting subunit beta 2	160 ng/L
SCRN1	Secernin 1	160 ng/L
FLOT1	Flotillin 1	160 ng/L
EPHX1	Epoxide hydrolase 1	160 ng/L
LAMTOR1	Late endosomal/lysosomal adaptor, MAPK and MTOR activator 1	160 ng/L
RANBP2	RAN binding protein 2	160 ng/L
TNIK	TRAF2 and NCK interacting kinase	160 ng/L
LZIC	Leucine zipper and CTNNBIP1 domain containing	160 ng/L
NELL1	Neural EGFL like 1	160 ng/L
SERPINB7	Serpin family B member 7	160 ng/L
TSC22D4	TSC22 domain family member 4	160 ng/L
FEN1	Flap structure-specific endonuclease 1	160 ng/L
AHCYL1	Adenosylhomocysteinase like 1	160 ng/L
CNBP	CCHC-type zinc finger nucleic acid binding protein	160 ng/L
PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase	160 ng/L
RAP2B	RAP2B, member of RAS oncogene family	160 ng/L
KPNA2	Karyopherin subunit alpha 2	160 ng/L
CRIP2	Cysteine rich protein 2	160 ng/L
C2orf88	Chromosome 2 open reading frame 88	160 ng/L
MT1F	Metallothionein 1F	160 ng/L
MCTS1	MCTS1 re-initiation and release factor	160 ng/L
SULT1A3	Sulfotransferase family 1A member 3	160 ng/L
RPL17	Ribosomal protein L17	160 ng/L
CLCA4	Chloride channel accessory 4	150 ng/L
LRRFIP2	LRR binding FLII interacting protein 2	150 ng/L
CRYM	Crystallin mu	150 ng/L
XYLT1	Xylosyltransferase 1	150 ng/L
CSK	C-terminal Src kinase	150 ng/L
SSBP1	Single stranded DNA binding protein 1	150 ng/L
MCM3	Minichromosome maintenance complex component 3	150 ng/L
RPS25	Ribosomal protein S25	150 ng/L
CSF3R	Colony stimulating factor 3 receptor	150 ng/L
COPA	COPI coat complex subunit alpha	150 ng/L
COX6B1	Cytochrome c oxidase subunit 6B1	150 ng/L
LAMTOR5	Late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	150 ng/L
CEMIP2	Cell migration inducing hyaluronidase 2	150 ng/L
GLUL	Glutamate-ammonia ligase	150 ng/L
PLXNC1	Plexin C1	150 ng/L
PPA2	Inorganic pyrophosphatase 2	150 ng/L
RTN1	Reticulon 1	150 ng/L
PARP1	Poly(ADP-ribose) polymerase 1	150 ng/L
GFRA3	GDNF family receptor alpha 3	150 ng/L
MMUT	Methylmalonyl-CoA mutase	150 ng/L
PURB	Purine rich element binding protein B	150 ng/L
CLIC2	Chloride intracellular channel 2	150 ng/L
RBBP4	RB binding protein 4, chromatin remodeling factor	150 ng/L
MCM7	Minichromosome maintenance complex component 7	150 ng/L
GPX4	Glutathione peroxidase 4	150 ng/L
CTPS1	CTP synthase 1	150 ng/L
FLII	FLII actin remodeling protein	150 ng/L
HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	150 ng/L
GLTPD2	Glycolipid transfer protein domain containing 2	150 ng/L
SLITRK2	SLIT and NTRK like family member 2	150 ng/L
SNX2	Sorting nexin 2	150 ng/L
SARNP	SAP domain containing ribonucleoprotein	150 ng/L
ATP5PO	ATP synthase peripheral stalk subunit OSCP	150 ng/L
ASPRV1	Aspartic peptidase retroviral like 1	150 ng/L
SLK	STE20 like kinase	140 ng/L
TOLLIP	Toll interacting protein	140 ng/L
IGSF9	Immunoglobulin superfamily member 9	140 ng/L
NUDC	Nuclear distribution C, dynein complex regulator	140 ng/L
ARCN1	Archain 1	140 ng/L
MAPK1	Mitogen-activated protein kinase 1	140 ng/L
TTLL12	Tubulin tyrosine ligase like 12	140 ng/L
C20orf27	Chromosome 20 open reading frame 27	140 ng/L
SRPX	Sushi repeat containing protein X-linked	140 ng/L
RBBP7	RB binding protein 7, chromatin remodeling factor	140 ng/L
MCM4	Minichromosome maintenance complex component 4	140 ng/L
FOLR1	Folate receptor alpha	140 ng/L
RBP2	Retinol binding protein 2	140 ng/L
MAP2K2	Mitogen-activated protein kinase kinase 2	140 ng/L
TRIM28	Tripartite motif containing 28	140 ng/L
TOR1B	Torsin family 1 member B	140 ng/L
ATG3	Autophagy related 3	140 ng/L
GFRA1	GDNF family receptor alpha 1	140 ng/L
ELOC	Elongin C	140 ng/L
RNF123	Ring finger protein 123	140 ng/L
NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	140 ng/L
PGM2L1	Phosphoglucomutase 2 like 1	140 ng/L
RRM1	Ribonucleotide reductase catalytic subunit M1	140 ng/L
MTSS1	MTSS I-BAR domain containing 1	140 ng/L
MANEA	Mannosidase endo-alpha	140 ng/L
NT5DC1	5'-nucleotidase domain containing 1	140 ng/L
ATP6AP2	ATPase H+ transporting accessory protein 2	140 ng/L
SMTN	Smoothelin	140 ng/L
SMOC1	SPARC related modular calcium binding 1	140 ng/L
VIT	Vitrin	140 ng/L
LAT	Linker for activation of T cells	140 ng/L
FIS1	Fission, mitochondrial 1	140 ng/L
DCUN1D1	Defective in cullin neddylation 1 domain containing 1	130 ng/L
LAMC2	Laminin subunit gamma 2	130 ng/L
TNPO1	Transportin 1	130 ng/L
SF3B2	Splicing factor 3b subunit 2	130 ng/L
RBM3	RNA binding motif protein 3	130 ng/L
UBE2I	Ubiquitin conjugating enzyme E2 I	130 ng/L
OGDH	Oxoglutarate dehydrogenase	130 ng/L
DHX15	DEAH-box helicase 15	130 ng/L
RPS10	Ribosomal protein S10	130 ng/L
RPL23	Ribosomal protein L23	130 ng/L
UBA2	Ubiquitin like modifier activating enzyme 2	130 ng/L
RTN3	Reticulon 3	130 ng/L
ITGB7	Integrin subunit beta 7	130 ng/L
FURIN	Furin, paired basic amino acid cleaving enzyme	130 ng/L
PRKACB	Protein kinase cAMP-activated catalytic subunit beta	130 ng/L
FAM171A1	Family with sequence similarity 171 member A1	130 ng/L
EIF3M	Eukaryotic translation initiation factor 3 subunit M	130 ng/L
HNMT	Histamine N-methyltransferase	130 ng/L
DAB2	DAB adaptor protein 2	130 ng/L
TMSB15A	Thymosin beta 15A	130 ng/L
CLSTN2	Calsyntenin 2	130 ng/L
B4GALT3	Beta-1,4-galactosyltransferase 3	130 ng/L
NCSTN	Nicastrin	130 ng/L
INHBB	Inhibin subunit beta B	130 ng/L
ALPI	Alkaline phosphatase, intestinal	130 ng/L
NDST2	N-deacetylase and N-sulfotransferase 2	130 ng/L
CDH16	Cadherin 16	130 ng/L
TAC3	Tachykinin precursor 3	130 ng/L
SF1	Splicing factor 1	130 ng/L
VAMP5	Vesicle associated membrane protein 5	130 ng/L
HSPB7	Heat shock protein family B (small) member 7	130 ng/L
ADI1	Acireductone dioxygenase 1	130 ng/L
GSPT2	G1 to S phase transition 2	130 ng/L
RPE	Ribulose-5-phosphate-3-epimerase	130 ng/L
TNFSF12	TNF superfamily member 12	130 ng/L
CCL23	C-C motif chemokine ligand 23	130 ng/L
MMP25	Matrix metallopeptidase 25	120 ng/L
PPP5C	Protein phosphatase 5 catalytic subunit	120 ng/L
IFI35	Interferon induced protein 35	120 ng/L
MCM2	Minichromosome maintenance complex component 2	120 ng/L
PSMC5	Proteasome 26S subunit, ATPase 5	120 ng/L
GCN1	GCN1 activator of EIF2AK4	120 ng/L
SCFD1	Sec1 family domain containing 1	120 ng/L
AHSA1	Activator of HSP90 ATPase activity 1	120 ng/L
MAGED2	MAGE family member D2	120 ng/L
DECR1	2,4-dienoyl-CoA reductase 1	120 ng/L
TBCB	Tubulin folding cofactor B	120 ng/L
CBX1	Chromobox 1	120 ng/L
LAMTOR3	Late endosomal/lysosomal adaptor, MAPK and MTOR activator 3	120 ng/L
COL9A1	Collagen type IX alpha 1 chain	120 ng/L
SMOC2	SPARC related modular calcium binding 2	120 ng/L
SUB1	SUB1 regulator of transcription	120 ng/L
PCCB	Propionyl-CoA carboxylase subunit beta	120 ng/L
ITGA4	Integrin subunit alpha 4	120 ng/L
MYCT1	MYC target 1	120 ng/L
PAEP	Progestagen associated endometrial protein	120 ng/L
ITPA	Inosine triphosphatase	120 ng/L
PIN1	Peptidylprolyl cis/trans isomerase, NIMA-interacting 1	120 ng/L
DDC	Dopa decarboxylase	120 ng/L
BCAN	Brevican	120 ng/L
ECHDC3	Enoyl-CoA hydratase domain containing 3	120 ng/L
NIBAN1	Niban apoptosis regulator 1	120 ng/L
SEMA3D	Semaphorin 3D	120 ng/L
PSMD6	Proteasome 26S subunit, non-ATPase 6	120 ng/L
NPNT	Nephronectin	120 ng/L
MAP2K1	Mitogen-activated protein kinase kinase 1	120 ng/L
AGFG1	ArfGAP with FG repeats 1	120 ng/L
PRPF8	Pre-mRNA processing factor 8	120 ng/L
HHIPL1	HHIP like 1	120 ng/L
NEB	Nebulin	120 ng/L
H1-0	H1.0 linker histone	120 ng/L
NHLRC2	NHL repeat containing 2	120 ng/L
TAX1BP3	Tax1 binding protein 3	120 ng/L
RPS18	Ribosomal protein S18	120 ng/L
PPIL3	Peptidylprolyl isomerase like 3	120 ng/L
DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	120 ng/L
LYPLA2	Lysophospholipase 2	110 ng/L
MVP	Major vault protein	110 ng/L
NSUN2	NOP2/Sun RNA methyltransferase 2	110 ng/L
NTN1	Netrin 1	110 ng/L
MAOB	Monoamine oxidase B	110 ng/L
RPL31	Ribosomal protein L31	110 ng/L
IL4R	Interleukin 4 receptor	110 ng/L
ANGPT2	Angiopoietin 2	110 ng/L
SNAP29	Synaptosome associated protein 29	110 ng/L
PSMC1	Proteasome 26S subunit, ATPase 1	110 ng/L
PLAT	Plasminogen activator, tissue type	110 ng/L
EIF3A	Eukaryotic translation initiation factor 3 subunit A	110 ng/L
VPS29	VPS29 retromer complex component	110 ng/L
NNT	Nicotinamide nucleotide transhydrogenase	110 ng/L
GBP1	Guanylate binding protein 1	110 ng/L
HSD11B1	Hydroxysteroid 11-beta dehydrogenase 1	110 ng/L
ALDH8A1	Aldehyde dehydrogenase 8 family member A1	110 ng/L
KHDRBS1	KH RNA binding domain containing, signal transduction associated 1	110 ng/L
PFDN5	Prefoldin subunit 5	110 ng/L
EPS15L1	Epidermal growth factor receptor pathway substrate 15 like 1	110 ng/L
TNNI2	Troponin I2, fast skeletal type	110 ng/L
LARS1	Leucyl-tRNA synthetase 1	110 ng/L
CAMK1	Calcium/calmodulin dependent protein kinase I	110 ng/L
SORT1	Sortilin 1	110 ng/L
GGACT	Gamma-glutamylamine cyclotransferase	110 ng/L
HINT2	Histidine triad nucleotide binding protein 2	110 ng/L
MAN2C1	Mannosidase alpha class 2C member 1	110 ng/L
TNFRSF11A	TNF receptor superfamily member 11a	110 ng/L
FKBP10	FKBP prolyl isomerase 10	110 ng/L
TMEM132D	Transmembrane protein 132D	110 ng/L
ANGPT1	Angiopoietin 1	110 ng/L
TNFRSF14	TNF receptor superfamily member 14	110 ng/L
EFCAB14	EF-hand calcium binding domain 14	110 ng/L
AMDHD2	Amidohydrolase domain containing 2	110 ng/L
DEFA5	Defensin alpha 5	110 ng/L
ANKRD2	Ankyrin repeat domain 2	110 ng/L
IDH3A	Isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha	110 ng/L
ISLR2	Immunoglobulin superfamily containing leucine rich repeat 2	110 ng/L
COPS6	COP9 signalosome subunit 6	110 ng/L
CEL	Carboxyl ester lipase	110 ng/L
EHBP1L1	EH domain binding protein 1 like 1	110 ng/L
XXYLT1	Xyloside xylosyltransferase 1	110 ng/L
LMNB2	Lamin B2	110 ng/L
RCC2	Regulator of chromosome condensation 2	110 ng/L
YOD1	YOD1 deubiquitinase	110 ng/L
SSR4	Signal sequence receptor subunit 4	110 ng/L
KPNA4	Karyopherin subunit alpha 4	110 ng/L
GSTK1	Glutathione S-transferase kappa 1	110 ng/L
ERO1A	Endoplasmic reticulum oxidoreductase 1 alpha	110 ng/L
COPS8	COP9 signalosome subunit 8	110 ng/L
VARS1	Valyl-tRNA synthetase 1	110 ng/L
NCKIPSD	NCK interacting protein with SH3 domain	110 ng/L
IFI30	IFI30 lysosomal thiol reductase	110 ng/L
CD302	CD302 molecule	110 ng/L
ACACA	Acetyl-CoA carboxylase alpha	110 ng/L
M6PR	Mannose-6-phosphate receptor, cation dependent	100 ng/L
NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	100 ng/L
CSDE1	Cold shock domain containing E1	100 ng/L
MGLL	Monoglyceride lipase	100 ng/L
EPB41L3	Erythrocyte membrane protein band 4.1 like 3	100 ng/L
DNAJB11	DnaJ heat shock protein family (Hsp40) member B11	100 ng/L
BCL2L13	BCL2 like 13	100 ng/L
C11orf58	Chromosome 11 open reading frame 58	100 ng/L
TNFAIP6	TNF alpha induced protein 6	100 ng/L
HRC	Histidine rich calcium binding protein	100 ng/L
PDHA1	Pyruvate dehydrogenase E1 subunit alpha 1	100 ng/L
NES	Nestin	100 ng/L
CAB39	Calcium binding protein 39	100 ng/L
COPS4	COP9 signalosome subunit 4	100 ng/L
CD27	CD27 molecule	100 ng/L
CRNN	Cornulin	100 ng/L
IGSF1	Immunoglobulin superfamily member 1	100 ng/L
HK2	Hexokinase 2	100 ng/L
NAE1	NEDD8 activating enzyme E1 subunit 1	100 ng/L
SCG5	Secretogranin V	100 ng/L
TTC36	Tetratricopeptide repeat domain 36	100 ng/L
MXRA7	Matrix remodeling associated 7	100 ng/L
EPHB3	EPH receptor B3	100 ng/L
PTRHD1	Peptidyl-tRNA hydrolase domain containing 1	100 ng/L
IARS1	Isoleucyl-tRNA synthetase 1	100 ng/L
TSC22D2	TSC22 domain family member 2	100 ng/L
AGER	Advanced glycosylation end-product specific receptor	100 ng/L
RBM8A	RNA binding motif protein 8A	100 ng/L
SLC44A1	Solute carrier family 44 member 1	99 ng/L
CYB5B	Cytochrome b5 type B	99 ng/L
ACADVL	Acyl-CoA dehydrogenase very long chain	98 ng/L
LRRC32	Leucine rich repeat containing 32	98 ng/L
DEFA4	Defensin alpha 4	98 ng/L
BCAT1	Branched chain amino acid transaminase 1	97 ng/L
ARPC5L	Actin related protein 2/3 complex subunit 5 like	97 ng/L
KIF5B	Kinesin family member 5B	97 ng/L
HSD17B8	Hydroxysteroid 17-beta dehydrogenase 8	97 ng/L
LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated	97 ng/L
DNASE1L1	Deoxyribonuclease 1 like 1	96 ng/L
ATP6V1G1	ATPase H+ transporting V1 subunit G1	96 ng/L
CLCA2	Chloride channel accessory 2	96 ng/L
ACOX1	Acyl-CoA oxidase 1	96 ng/L
FAM114A1	Family with sequence similarity 114 member A1	96 ng/L
PSMD11	Proteasome 26S subunit, non-ATPase 11	95 ng/L
HDLBP	High density lipoprotein binding protein	95 ng/L
PAXX	PAXX non-homologous end joining factor	95 ng/L
PDGFD	Platelet derived growth factor D	95 ng/L
EFTUD2	Elongation factor Tu GTP binding domain containing 2	94 ng/L
SF3B1	Splicing factor 3b subunit 1	94 ng/L
PLXNA3	Plexin A3	94 ng/L
NMT1	N-myristoyltransferase 1	94 ng/L
PPP3CA	Protein phosphatase 3 catalytic subunit alpha	94 ng/L
CASP3	Caspase 3	94 ng/L
PDXP	Pyridoxal phosphatase	94 ng/L
SSB	Small RNA binding exonuclease protection factor La	93 ng/L
GFPT1	Glutamine--fructose-6-phosphate transaminase 1	93 ng/L
WNK1	WNK lysine deficient protein kinase 1	92 ng/L
CSNK2A2	Casein kinase 2 alpha 2	92 ng/L
STAT1	Signal transducer and activator of transcription 1	92 ng/L
GLS	Glutaminase	92 ng/L
HPCAL1	Hippocalcin like 1	92 ng/L
RCN2	Reticulocalbin 2	92 ng/L
SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	91 ng/L
LALBA	Lactalbumin alpha	91 ng/L
SEC22B	SEC22 homolog B, vesicle trafficking protein	91 ng/L
LIMA1	LIM domain and actin binding 1	90 ng/L
RPS24	Ribosomal protein S24	90 ng/L
CRYBB1	Crystallin beta B1	89 ng/L
ACYP1	Acylphosphatase 1	89 ng/L
MTHFD1L	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	89 ng/L
SNX12	Sorting nexin 12	89 ng/L
NIT1	Nitrilase 1	89 ng/L
RPL27A	Ribosomal protein L27a	89 ng/L
PFDN6	Prefoldin subunit 6	89 ng/L
PLAU	Plasminogen activator, urokinase	88 ng/L
TPST2	Tyrosylprotein sulfotransferase 2	88 ng/L
PCDH10	Protocadherin 10	88 ng/L
HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U like 2	88 ng/L
NCK2	NCK adaptor protein 2	87 ng/L
SF3A1	Splicing factor 3a subunit 1	87 ng/L
FLT1	Fms related receptor tyrosine kinase 1	87 ng/L
UBAC1	UBA domain containing 1	87 ng/L
GAST	Gastrin	87 ng/L
RPL37A	Ribosomal protein L37a	87 ng/L
NUDT3	Nudix hydrolase 3	87 ng/L
DDX1	DEAD-box helicase 1	86 ng/L
WFDC12	WAP four-disulfide core domain 12	86 ng/L
RHOG	Ras homolog family member G	86 ng/L
RPL23A	Ribosomal protein L23a	86 ng/L
COX6A1	Cytochrome c oxidase subunit 6A1	85 ng/L
PFDN2	Prefoldin subunit 2	85 ng/L
CD96	CD96 molecule	85 ng/L
DGCR2	DiGeorge syndrome critical region gene 2	84 ng/L
ME2	Malic enzyme 2	84 ng/L
TXN2	Thioredoxin 2	84 ng/L
PRPSAP2	Phosphoribosyl pyrophosphate synthetase associated protein 2	84 ng/L
WASF2	WASP family member 2	84 ng/L
PCYT2	Phosphate cytidylyltransferase 2, ethanolamine	84 ng/L
GCNT1	Glucosaminyl (N-acetyl) transferase 1	84 ng/L
SLC25A3	Solute carrier family 25 member 3	83 ng/L
SEC23A	Sec23 homolog A, COPII coat complex component	83 ng/L
ATE1	Arginyltransferase 1	83 ng/L
CMIP	C-Maf inducing protein	83 ng/L
KALRN	Kalirin RhoGEF kinase	83 ng/L
PRRT3	Proline rich transmembrane protein 3	83 ng/L
PCDH19	Protocadherin 19	83 ng/L
EIF3F	Eukaryotic translation initiation factor 3 subunit F	83 ng/L
CSNK2B	Casein kinase 2 beta	83 ng/L
KARS1	Lysyl-tRNA synthetase 1	82 ng/L
DYNC1I2	Dynein cytoplasmic 1 intermediate chain 2	82 ng/L
TMED2	Transmembrane p24 trafficking protein 2	82 ng/L
ELOB	Elongin B	82 ng/L
RPA1	Replication protein A1	82 ng/L
SEC14L4	SEC14 like lipid binding 4	82 ng/L
STAM	Signal transducing adaptor molecule	82 ng/L
NLGN1	Neuroligin 1	82 ng/L
GPX2	Glutathione peroxidase 2	82 ng/L
ENTPD4	Ectonucleoside triphosphate diphosphohydrolase 4	82 ng/L
SACM1L	SAC1 like phosphatidylinositide phosphatase	82 ng/L
SGTA	Small glutamine rich tetratricopeptide repeat containing alpha	81 ng/L
NDUFA5	NADH:ubiquinone oxidoreductase subunit A5	81 ng/L
SQSTM1	Sequestosome 1	81 ng/L
RUVBL1	RuvB like AAA ATPase 1	81 ng/L
PSMD13	Proteasome 26S subunit, non-ATPase 13	81 ng/L
DOK1	Docking protein 1	80 ng/L
PPL	Periplakin	80 ng/L
C1orf198	Chromosome 1 open reading frame 198	80 ng/L
PKDCC	Protein kinase domain containing, cytoplasmic	80 ng/L
STK39	Serine/threonine kinase 39	80 ng/L
TNNT1	Troponin T1, slow skeletal type	79 ng/L
FBL	Fibrillarin	79 ng/L
SORL1	Sortilin related receptor 1	79 ng/L
EXTL1	Exostosin like glycosyltransferase 1	79 ng/L
NTRK1	Neurotrophic receptor tyrosine kinase 1	79 ng/L
DUSP14	Dual specificity phosphatase 14	79 ng/L
VSIG2	V-set and immunoglobulin domain containing 2	78 ng/L
TRIP13	Thyroid hormone receptor interactor 13	78 ng/L
TIMM9	Translocase of inner mitochondrial membrane 9	78 ng/L
BPI	Bactericidal permeability increasing protein	78 ng/L
FSHB	Follicle stimulating hormone subunit beta	78 ng/L
NUP210	Nucleoporin 210	78 ng/L
SNRNP200	Small nuclear ribonucleoprotein U5 subunit 200	78 ng/L
LRIG1	Leucine rich repeats and immunoglobulin like domains 1	78 ng/L
GPS1	G protein pathway suppressor 1	78 ng/L
CLCA1	Chloride channel accessory 1	77 ng/L
EIF5	Eukaryotic translation initiation factor 5	77 ng/L
LY86	Lymphocyte antigen 86	77 ng/L
AMPD3	Adenosine monophosphate deaminase 3	77 ng/L
SLIT2	Slit guidance ligand 2	77 ng/L
XDH	Xanthine dehydrogenase	77 ng/L
CCDC9B	Coiled-coil domain containing 9B	77 ng/L
PHB2	Prohibitin 2	77 ng/L
SNRPD2	Small nuclear ribonucleoprotein D2 polypeptide	76 ng/L
